KOs,Astragalus sinicus1,Astragalus sinicus2,Astragalus sinicus3,Astragalus sinicus4,Melilotus officinalis1,Melilotus officinalis2,Melilotus officinalis3,Melilotus officinalis4,Vicia villosa1,Vicia villosa2,Vicia villosa3,Vicia villosa4,Pisum sativum1,Pisum sativum2,Pisum sativum3,Pisum sativum4,Trifolium incarnatum1,Trifolium incarnatum2,Trifolium incarnatum3,Trifolium incarnatum4,Medicago sativa1,Medicago sativa2,Medicago sativa3,Medicago sativa4,Fagopyrum tataricum1,Fagopyrum tataricum2,Fagopyrum tataricum3,Fagopyrum tataricum4,Brassica juncea1,Brassica juncea2,Brassica juncea3,Brassica juncea4,Cichorium intybus1,Cichorium intybus2,Cichorium intybus3,Cichorium intybus4,Lolium multiflorum1,Lolium multiflorum2,Lolium multiflorum3,Lolium multiflorum4,Triticum turgidum1,Triticum turgidum2,Triticum turgidum3,Triticum turgidum4
K01575,21.519,4.072,7.913,34.685,16.956,14.31,7.042,10.285,11.651,8.834,5.246,9.316,18.911,18.996,10.168,15.858,2.993,11.092,1.937,4.288,3.431,3.917,6.093,11.103,12.245,9.073,15.472,8.266,25.808,4.989,3.34,11.238,13.264,5.542,13.267,22.015,8.337,15.627,15.979,12.929,8.457,10.166,12.297,12.566
K01576,63.096,132.759,119.143,124.989,81.639,94.789,99.063,88.932,58.675,80.994,112.119,79.806,86.13,87.296,103.163,107.638,101.606,75.343,93.056,99.819,64.545,71.381,106.321,188.288,159.643,98.393,157.067,89.421,33.775,66.722,72.476,142.77,107.55,87.249,120.943,87.244,62.04,194.514,123.631,164.001,143.808,139.787,115.946,141.626
K01577,17.503,20.997,46.695,34.813,54.43,69.232,57.091,58.386,45.119,50.217,58.201,55.97,46.476,47.204,37.403,62.17,30.941,28.436,24.441,36.441,20.378,23.247,30.567,105.66,122.394,107.621,95.783,63.005,17.771,16.684,37.02,72.861,40.798,34.426,48.34,36.735,40.929,98.387,85.305,84.042,82.862,80.522,83.998,82.748
K01578,27.155,45.969,68.573,58.694,73.307,110.409,78.204,94.615,66.462,75.372,99.594,68.893,102.115,107.054,69.795,119.807,64.813,56.078,47.191,111.275,33.393,43.39,43.32,174.624,146.257,109.52,146.181,72.553,24.295,28.202,40.995,111.139,64.593,44.807,58.854,46.389,56.849,135.404,121.414,123.246,105.18,110.661,106.475,117.365
K01579,150.88,153.037,193.554,132.039,209.605,177.331,174.277,162.574,129.869,178.695,172.031,172.557,176.635,209.567,151.733,189.116,164.098,176.518,171.745,180.89,173.568,146.671,174.592,160.755,124.702,155.755,129.129,157.235,155.645,134.683,167.744,155.583,141.346,119.953,143.087,133.771,131.702,128.664,132.596,146.081,150.035,150.256,128.811,156.024
K01580,9.233,13.668,18.676,14.013,11.257,26.737,28.417,27.367,54.053,39.062,38.718,58.2,26.073,58.288,38.649,21.31,23.278,59.637,14.721,22.062,22.929,13.31,17.005,20.413,45.667,18.022,59.189,31.711,97.129,18.467,17.306,43.355,22.187,22.124,23.349,20.354,54.627,76.217,44.424,69.142,64.119,64.762,37.367,50.011
K01581,305.779,301.618,229.619,266.734,287.121,291.382,295.007,279.392,223.672,241.634,233.172,229.089,223.331,202.055,227.53,198.674,315.988,326.03,334.38,258.991,312.136,297.814,294.117,246.568,152.962,204.59,171.468,274.078,300.222,374.361,318.913,224.253,354.453,353.606,328.314,366.32,210.806,227.168,158.832,219.735,221.552,195.786,132.551,222.821
K01582,34.472,0.821,5.469,37.538,23.927,26.937,9.351,22.274,4.439,6.284,1.056,5.477,7.205,2.654,2.157,1.162,0.564,48.875,0.239,0.125,4.825,5.886,11.879,1.926,0.361,4.951,1.371,7.909,22.294,3.344,0.351,0.522,10.752,5.627,10.811,13.417,6.124,0.29,0.035,0.12,0.077,0.341,0.155,0.623
K01584,256.687,296.392,297.224,191.997,263.593,283.305,287.486,268.813,254.663,301.727,312.114,262.53,272.359,221.952,221.913,207.952,306.875,326.245,387.991,283.122,321.594,258.791,280.472,255.08,222.746,257.604,208.766,311.733,256.768,371.033,343.091,231.824,279.438,348.619,293.499,312.162,177.744,232.243,198.534,207.699,227.969,207.901,172.434,227.938
K01585,341.525,320.58,299.783,314.064,293.782,259.379,290.594,258.759,361.221,341.285,317.399,340.224,283.246,310.666,325.738,283.303,285.494,314.275,304.898,257.831,326.349,327.122,335.846,206.779,334.877,366.866,351.446,361.809,396.551,343.097,350.755,334.784,362.408,357.042,365.715,388.779,344.012,343.372,394.997,339.08,361.508,345.583,381.086,367.699
